frame_idx,level,iou_gate,model
0,0,0.34285715222358704,kan
1,0,0.32380953431129456,kan
2,0,0.32380953431129456,kan
3,0,0.3142857253551483,kan
4,0,0.3142857253551483,kan
5,0,0.3047619163990021,kan
6,0,0.3142857253551483,kan
7,0,0.3333333432674408,kan
0,1,0.42990654706954956,kan
1,1,0.4112149477005005,kan
2,1,0.40498441457748413,kan
3,1,0.4112149477005005,kan
4,1,0.4080996811389923,kan
5,1,0.40186914801597595,kan
6,1,0.41433021426200867,kan
7,1,0.4236760139465332,kan
0,2,0.46167248487472534,kan
1,2,0.45121949911117554,kan
2,2,0.4477351903915405,kan
3,2,0.4533565938472748,kan
4,2,0.444638192653656,kan
5,2,0.45248475670814514,kan
6,2,0.4625435471534729,kan
7,2,0.4695121943950653,kan
8,0,0.33707866072654724,kan
9,0,0.3483146131038666,kan
10,0,0.4175824224948883,kan
11,0,0.41304346919059753,kan
12,0,0.41304346919059753,kan
13,0,0.44565218687057495,kan
14,0,0.4157303273677826,kan
15,0,0.3483146131038666,kan
8,1,0.40247678756713867,kan
9,1,0.401840478181839,kan
10,1,0.4346504509449005,kan
11,1,0.43425077199935913,kan
12,1,0.4264264404773712,kan
13,1,0.4363636374473572,kan
14,1,0.4440993666648865,kan
15,1,0.4285714328289032,kan
8,2,0.45437079668045044,kan
9,2,0.4755513072013855,kan
10,2,0.4952740967273712,kan
11,2,0.5103969573974609,kan
12,2,0.49533581733703613,kan
13,2,0.5037593841552734,kan
14,2,0.5180487632751465,kan
15,2,0.531737744808197,kan
16,0,0.2884615361690521,kan
17,0,0.2857142984867096,kan
18,0,0.3619047701358795,kan
19,0,0.2884615361690521,kan
20,0,0.32710281014442444,kan
21,0,0.35779815912246704,kan
22,0,0.30909091234207153,kan
23,0,0.33636364340782166,kan
16,1,0.2895376980304718,kan
17,1,0.29197078943252563,kan
18,1,0.35121950507164,kan
19,1,0.36764705181121826,kan
20,1,0.38235294818878174,kan
21,1,0.4436274468898773,kan
22,1,0.406862735748291,kan
23,1,0.406862735748291,kan
16,2,0.3135935366153717,kan
17,2,0.31919193267822266,kan
18,2,0.3497636616230011,kan
19,2,0.40040650963783264,kan
20,2,0.4265305995941162,kan
21,2,0.459809273481369,kan
22,2,0.46049046516418457,kan
23,2,0.45163488388061523,kan
24,0,0.42307692766189575,kan
25,0,0.3921568691730499,kan
26,0,0.4019607901573181,kan
27,0,0.4117647111415863,kan
28,0,0.3980582654476166,kan
29,0,0.40776699781417847,kan
30,0,0.40776699781417847,kan
31,0,0.40776699781417847,kan
24,1,0.43523314595222473,kan
25,1,0.438144326210022,kan
26,1,0.42783504724502563,kan
27,1,0.43927648663520813,kan
28,1,0.43410852551460266,kan
29,1,0.4329896867275238,kan
30,1,0.4315245449542999,kan
31,1,0.44186046719551086,kan
24,2,0.4751098155975342,kan
25,2,0.4765051305294037,kan
26,2,0.48676469922065735,kan
27,2,0.48748159408569336,kan
28,2,0.4801178276538849,kan
29,2,0.48527246713638306,kan
30,2,0.4823269546031952,kan
31,2,0.48527246713638306,kan
32,0,0.35849055647850037,kan
33,0,0.37735849618911743,kan
34,0,0.38679245114326477,kan
35,0,0.3679245412349701,kan
36,0,0.3679245412349701,kan
37,0,0.349056601524353,kan
38,0,0.3396226465702057,kan
39,0,0.3523809611797333,kan
32,1,0.43264248967170715,kan
33,1,0.43376624584198,kan
34,1,0.43376624584198,kan
35,1,0.43376624584198,kan
36,1,0.43376624584198,kan
37,1,0.4233766198158264,kan
38,1,0.4259740114212036,kan
39,1,0.41558441519737244,kan
32,2,0.46908316016197205,kan
33,2,0.4747330844402313,kan
34,2,0.47686833143234253,kan
35,2,0.47578346729278564,kan
36,2,0.4740213453769684,kan
37,2,0.4740213453769684,kan
38,2,0.4797152876853943,kan
39,2,0.4672364592552185,kan
40,0,0.3451327383518219,kan
41,0,0.3571428656578064,kan
42,0,0.3482142984867096,kan
43,0,0.36036035418510437,kan
44,0,0.36036035418510437,kan
45,0,0.36036035418510437,kan
46,0,0.3482142984867096,kan
47,0,0.3482142984867096,kan
40,1,0.3752860426902771,kan
41,1,0.3844393491744995,kan
42,1,0.3752860426902771,kan
43,1,0.3752860426902771,kan
44,1,0.3798626959323883,kan
45,1,0.3775743842124939,kan
46,1,0.4091953933238983,kan
47,1,0.3977011442184448,kan
40,2,0.4057508111000061,kan
41,2,0.40871235728263855,kan
42,2,0.4154340922832489,kan
43,2,0.4182754158973694,kan
44,2,0.42682141065597534,kan
45,2,0.42258065938949585,kan
46,2,0.4402068555355072,kan
47,2,0.445019394159317,kan
48,0,0.31200000643730164,kan
49,0,0.35483869910240173,kan
50,0,0.3306451737880707,kan
51,0,0.30894309282302856,kan
52,0,0.30894309282302856,kan
53,0,0.24590164422988892,kan
54,0,0.23770491778850555,kan
55,0,0.23770491778850555,kan
48,1,0.38944724202156067,kan
49,1,0.4096692204475403,kan
50,1,0.421875,kan
51,1,0.42895442247390747,kan
52,1,0.42702701687812805,kan
53,1,0.36486485600471497,kan
54,1,0.37567567825317383,kan
55,1,0.3540540635585785,kan
48,2,0.44769230484962463,kan
49,2,0.46297740936279297,kan
50,2,0.46178343892097473,kan
51,2,0.4772162437438965,kan
52,2,0.5108601450920105,kan
53,2,0.49125874042510986,kan
54,2,0.48200175166130066,kan
55,2,0.46485060453414917,kan
56,0,0.21167883276939392,kan
57,0,0.20437955856323242,kan
58,0,0.1985294073820114,kan
59,0,0.2647058963775635,kan
60,0,0.2647058963775635,kan
61,0,0.2647058963775635,kan
62,0,0.27941176295280457,kan
63,0,0.2720588147640228,kan
56,1,0.33510637283325195,kan
57,1,0.332446813583374,kan
58,1,0.3306666612625122,kan
59,1,0.3743315637111664,kan
60,1,0.3914209008216858,kan
61,1,0.3962264060974121,kan
62,1,0.4177897572517395,kan
63,1,0.42587602138519287,kan
56,2,0.3555062711238861,kan
57,2,0.34464943408966064,kan
58,2,0.3637036979198456,kan
59,2,0.39375928044319153,kan
60,2,0.4186747074127197,kan
61,2,0.44173648953437805,kan
62,2,0.4545454680919647,kan
63,2,0.4660045802593231,kan
64,0,0.17543859779834747,kan
65,0,0.17543859779834747,kan
66,0,0.17543859779834747,kan
67,0,0.18421052396297455,kan
68,0,0.17543859779834747,kan
69,0,0.15789473056793213,kan
70,0,0.15789473056793213,kan
71,0,0.1666666716337204,kan
64,1,0.27636364102363586,kan
65,1,0.2800000011920929,kan
66,1,0.2836363613605499,kan
67,1,0.2836363613605499,kan
68,1,0.28727272152900696,kan
69,1,0.2836363613605499,kan
70,1,0.2800000011920929,kan
71,1,0.2836363613605499,kan
64,2,0.2982456088066101,kan
65,2,0.2994152009487152,kan
66,2,0.30327868461608887,kan
67,2,0.30562061071395874,kan
68,2,0.3024618923664093,kan
69,2,0.3024618923664093,kan
70,2,0.3016431927680969,kan
71,2,0.30516430735588074,kan
72,0,0.1979166716337204,kan
73,0,0.1979166716337204,kan
74,0,0.1875,kan
75,0,0.1875,kan
76,0,0.1875,kan
77,0,0.1979166716337204,kan
78,0,0.2083333283662796,kan
79,0,0.1875,kan
72,1,0.24605678021907806,kan
73,1,0.24290220439434052,kan
74,1,0.23974762856960297,kan
75,1,0.24290220439434052,kan
76,1,0.24290220439434052,kan
77,1,0.24605678021907806,kan
